objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage
BK-17496,Blue Macaw,True,Meissener Porzellan Manufaktur,"Blue Macaw, Meissener Porzellan Manufaktur, 1731",True,True,"{'guid': 'fb490c6f-638a-44a8-81d3-ea27a04eae46', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 1822, 'height': 2500, 'url': 'https://lh3.ggpht.com/5sc-SGzzgobkHnmnykUi4B1PqMtadoFqXOhYLQmsAI0Mcs_FeCoXT6loaiAUhr_zKvp2iyXntDxVhCzeVwjFulsjzRE=s0'}"
SK-A-3064,Portrait of a Girl Dressed in Blue,True,Johannes Cornelisz. Verspronck,"Portrait of a Girl Dressed in Blue, Johannes Cornelisz. Verspronck, 1641",True,True,"{'guid': 'bac9e153-fc59-4823-b4d4-3a7bc80ba5ac', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 5656, 'height': 6990, 'url': 'https://lh3.googleusercontent.com/hpl3FiKJycePxIROjWZLZXbodT5uV-EsBw9dlux7NFmhbWAX2xtHQZmlIqb9yxhu-yvs28KQsw1ulzjL8qdiRhPmDgc=s0'}"
SK-C-251,Woman Reading a Letter,True,Johannes Vermeer,"Woman Reading a Letter, Johannes Vermeer, c. 1663",True,True,"{'guid': '78352c03-05fc-4606-b1a7-b104df321869', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2502, 'height': 3000, 'url': 'https://lh3.googleusercontent.com/n7X03-aBMaHLQmd9UZXy0WSO81bLI376BMv8tjXfah_-BqdJURY-FoyX_YJKj5WuV5j3P8rLNEHM-T8jJztag9FQZkD3=s0'}"
SK-A-2344,The Milkmaid,True,Johannes Vermeer,"The Milkmaid, Johannes Vermeer, c. 1660",True,True,"{'guid': 'e4e3005c-dd9e-4db6-b466-50b17a9a52cd', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2261, 'height': 2548, 'url': 'https://lh3.googleusercontent.com/cRtF3WdYfRQEraAcQz8dWDJOq3XsRX-h244rOw6zwkHtxy7NHjJOany7u4I2EG_uMAfNwBLHkFyLMENzpmfBTSYXIH_F=s0'}"
SK-C-149,"A Mother Delousing her Child’s Hair, Known as ‘A Mother’s Duty’",True,Pieter de Hooch,"A Mother Delousing her Child’s Hair, Known as ‘A Mother’s Duty’, Pieter de Hooch, c. 1660 - c. 1661",True,True,"{'guid': 'ef64f571-6fdc-4751-a8ae-ddfcee6f8ae0', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 6901, 'height': 6028, 'url': 'https://lh3.googleusercontent.com/6Vm9nYrTeeYe5wl7lOafEHUnbzNF8KJw3ZbV_cNBr_wQTyHyp1DJxEWEEK3OSuji9XGYx04r15HTVPu850WeFcOd0ZVv=s0'}"
SK-A-500,The Holy Kinship,True,Geertgen tot Sint Jans,"The Holy Kinship, Geertgen tot Sint Jans (workshop of), c. 1495",True,True,"{'guid': 'fe12a6fa-fda9-47ee-99da-50a2b12c0abb', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2040, 'height': 2658, 'url': 'https://lh3.googleusercontent.com/qjkiSAC89H2lvsgogjCe6WGLzMFNgdoCLHwRngvUX6BACTFTggkzIXE99tz9Em-hTf44MS9YeRsxCjDkW7tfC9lprw=s0'}"
SK-A-5002,Square Man,True,Karel Appel,"Square Man, Karel Appel, 1951",True,False,"{'guid': '4a06adf3-ad50-4848-97e1-865d2d28af20', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2481, 'height': 2508, 'url': 'https://lh3.googleusercontent.com/sETFUAS5g-kgduf7go5qt0he3p4jeDMVXX5tX0LGP9xYvqcCsWF7R_E-LK02zYtmca80cpZnrKs04xo6CwZ2P9ev2ME=s0'}"
BK-2010-1,Armchair for Til Brugman,True,Gerrit Thomas Rietveld,"Armchair for Til Brugman, Gerrit Thomas Rietveld, c. 1919",False,False,"{'guid': 'c940a335-873d-4aa7-a36b-44f47b8079db', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2285, 'height': 2500, 'url': 'https://lh5.ggpht.com/S7arQL2F73diAKF63nuTFOLWx0UqgEl9ymymaqYqYDDPXyzloJLX07eZW3tEkHDJg8Eqk5OA3foQOw0VXyWBFWtSxow=s0'}"
RP-T-2017-239,Ontwerp voor een fantasieglas met een satyrfamilie en een geit,True,Master of the blue wash,"Ontwerp voor een fantasieglas met een satyrfamilie en een geit, Master of the blue wash, c. 1650 - c. 1675",True,True,"{'guid': '1b123554-387b-42fe-9ec8-26312ea564ba', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 1873, 'height': 2500, 'url': 'https://lh3.googleusercontent.com/Hbux_YN-tRlv9oeRcT1nMyMMaiwLi-22BcHzyE3Go_SNKAWKRI5J5I-GRsMmlwsdCDgSO3zdvaMVtUiXlbm-w526l8U=s0'}"
BK-17493,Blue Parrot,True,Meissener Porzellan Manufaktur,"Blue Parrot, Meissener Porzellan Manufaktur, c. 1730 - c. 1733",True,True,"{'guid': '291662f0-b657-4e08-871b-334dc25bf40a', 'offsetPercentageX': 0, 'offsetPercentageY': 0, 'width': 2121, 'height': 3000, 'url': 'https://lh3.googleusercontent.com/jPW2iKGONNfvfNrCmHHEICcwPontfBXgtchCrMwx7UEnPvaxC58z1V-i1PCmeeF9qsuil8plDBbDBtPgMWXeXZbYTgS_=s0'}"
